iter	Passed	Remaining
0	14	14707
1	28	14263
2	42	14171
3	56	14011
4	60	11990
5	74	12283
6	88	12556
7	102	12702
8	116	12813
9	131	13026
10	146	13145
11	159	13152
12	173	13174
13	187	13215
14	201	13233
15	215	13258
16	229	13277
17	243	13281
18	257	13296
19	271	13311
20	285	13311
21	299	13310
22	308	13091
23	321	13090
24	335	13099
25	349	13105
26	363	13099
27	379	13162
28	393	13163
29	406	13152
30	420	13142
31	434	13131
32	448	13128
33	461	13111
34	475	13099
35	488	13089
36	502	13081
37	517	13092
38	531	13089
39	545	13084
40	565	13218
41	579	13213
42	593	13210
43	607	13196
44	622	13216
45	637	13210
46	650	13196
47	664	13181
48	678	13177
49	693	13172
50	707	13166
51	722	13173
52	738	13203
53	752	13190
54	767	13181
55	781	13166
56	795	13157
57	810	13162
58	824	13155
59	839	13148
60	853	13138
61	868	13134
62	882	13123
63	897	13122
64	911	13110
65	925	13103
66	940	13090
67	954	13080
68	968	13063
69	982	13051
70	996	13040
71	1010	13020
72	1024	13004
73	1038	12989
74	1051	12973
75	1065	12958
76	1079	12945
77	1095	12949
78	1109	12933
79	1123	12924
80	1139	12929
81	1153	12911
82	1167	12896
83	1181	12879
84	1194	12861
85	1219	12960
86	1241	13031
87	1256	13021
88	1270	13002
89	1283	12981
90	1297	12964
91	1311	12942
92	1325	12923
93	1339	12907
94	1352	12888
95	1368	12884
96	1382	12872
97	1396	12854
98	1410	12835
99	1424	12819
100	1438	12802
101	1452	12784
102	1466	12769
103	1480	12752
104	1494	12734
105	1507	12718
106	1521	12701
107	1535	12684
108	1549	12668
109	1569	12700
110	1583	12686
111	1598	12676
112	1616	12692
113	1643	12776
114	1664	12812
115	1680	12809
116	1703	12856
117	1717	12839
118	1731	12822
119	1759	12901
120	1788	12992
121	1813	13051
122	1836	13095
123	1850	13075
124	1877	13143
125	1891	13122
126	1905	13100
127	1919	13079
128	1933	13057
129	1947	13035
130	1961	13014
131	1975	12993
132	1990	12972
133	2003	12949
134	2017	12927
135	2052	13039
136	2081	13113
137	2106	13158
138	2120	13135
139	2135	13120
140	2150	13099
141	2164	13076
142	2178	13053
143	2192	13030
144	2206	13008
145	2219	12984
146	2233	12961
147	2247	12939
148	2261	12918
149	2276	12897
150	2290	12877
151	2304	12855
152	2319	12839
153	2333	12817
154	2347	12795
155	2362	12779
156	2376	12758
157	2390	12737
158	2404	12716
159	2418	12696
160	2431	12673
161	2445	12651
162	2459	12629
163	2473	12609
164	2487	12588
165	2501	12567
166	2515	12546
167	2528	12523
168	2542	12503
169	2556	12484
170	2577	12495
171	2591	12475
172	2605	12457
173	2619	12435
174	2635	12422
175	2649	12403
176	2663	12384
177	2677	12364
178	2691	12346
179	2706	12330
180	2720	12309
181	2735	12292
182	2749	12273
183	2763	12255
184	2777	12235
185	2792	12222
186	2806	12203
187	2821	12184
188	2835	12167
189	2849	12148
190	2863	12129
191	2877	12110
192	2892	12092
193	2906	12073
194	2920	12056
195	2934	12039
196	2948	12020
197	2963	12002
198	2977	11984
199	2991	11964
200	3004	11944
201	3018	11925
202	3032	11907
203	3046	11887
204	3060	11868
205	3074	11849
206	3090	11838
207	3104	11820
208	3118	11802
209	3145	11833
210	3175	11874
211	3190	11858
212	3204	11839
213	3218	11820
214	3247	11857
215	3265	11851
216	3279	11832
217	3293	11815
218	3307	11796
219	3322	11779
220	3336	11760
221	3350	11741
222	3365	11727
223	3380	11710
224	3394	11691
225	3408	11671
226	3421	11652
227	3436	11634
228	3449	11614
229	3463	11595
230	3477	11576
231	3491	11557
232	3505	11538
233	3519	11521
234	3533	11503
235	3547	11485
236	3562	11468
237	3581	11467
238	3596	11451
239	3610	11433
240	3626	11420
241	3640	11403
242	3654	11385
243	3668	11367
244	3683	11351
245	3697	11333
246	3711	11314
247	3725	11297
248	3739	11279
249	3753	11260
250	3767	11242
251	3782	11226
252	3796	11208
253	3810	11191
254	3824	11173
255	3838	11154
256	3852	11136
257	3865	11118
258	3880	11101
259	3893	11082
260	3907	11064
261	3921	11046
262	3935	11028
263	3949	11010
264	3963	10992
265	3977	10975
266	3991	10956
267	4004	10937
268	4018	10920
269	4032	10902
270	4046	10884
271	4059	10865
272	4073	10847
273	4090	10838
274	4104	10821
275	4118	10803
276	4135	10793
277	4149	10777
278	4163	10759
279	4177	10741
280	4191	10725
281	4205	10708
282	4219	10690
283	4234	10674
284	4248	10658
285	4263	10643
286	4277	10626
287	4291	10609
288	4306	10594
289	4320	10577
290	4334	10560
291	4349	10545
292	4363	10529
293	4391	10545
294	4420	10563
295	4447	10578
296	4475	10593
297	4504	10610
298	4533	10629
299	4563	10648
300	4589	10657
301	4603	10639
302	4617	10622
303	4633	10607
304	4647	10589
305	4661	10571
306	4676	10555
307	4690	10537
308	4704	10519
309	4718	10502
310	4732	10485
311	4746	10467
312	4760	10449
313	4775	10432
314	4789	10415
315	4803	10398
316	4818	10381
317	4833	10365
318	4847	10347
319	4861	10331
320	4876	10315
