iter	Passed	Remaining
0	47	47620
1	48	24027
2	48	16203
3	49	12265
4	49	9929
5	51	8502
6	52	7421
7	53	6619
8	54	5953
9	55	5446
10	56	5042
11	57	4702
12	58	4414
13	59	4192
14	60	3956
15	61	3783
16	62	3628
17	63	3459
18	64	3320
19	65	3197
20	66	3079
21	66	2957
22	67	2846
23	67	2743
24	68	2652
25	68	2566
26	68	2485
27	69	2408
28	69	2337
29	70	2272
30	70	2207
31	70	2147
32	71	2090
33	71	2040
34	72	1990
35	72	1943
36	72	1898
37	73	1856
38	73	1815
39	74	1777
40	74	1741
41	74	1707
42	75	1674
43	75	1642
44	75	1612
45	76	1583
46	76	1555
47	77	1528
48	77	1503
49	77	1478
50	78	1459
51	78	1436
52	79	1414
53	79	1393
54	79	1373
55	80	1353
56	80	1334
57	81	1315
58	81	1298
59	81	1281
60	82	1264
61	82	1248
62	82	1233
63	83	1217
64	83	1203
65	84	1193
66	84	1179
67	85	1165
68	85	1152
69	85	1139
70	86	1127
71	86	1115
72	86	1103
73	87	1092
74	87	1080
75	88	1070
76	88	1059
77	88	1048
78	89	1038
79	89	1028
80	89	1019
81	90	1009
82	90	998
83	90	989
84	91	981
85	91	972
86	91	964
87	92	956
88	92	948
89	92	940
90	93	932
91	93	924
92	94	917
93	94	910
94	94	903
95	95	896
96	95	889
97	95	882
98	96	875
99	96	868
100	96	863
101	97	856
102	97	851
103	98	844
104	98	838
105	98	833
106	99	827
107	99	821
108	99	815
109	100	810
110	100	804
111	100	799
112	101	794
113	101	789
114	101	784
115	102	779
116	102	773
117	102	769
118	103	764
119	103	759
120	103	755
121	104	749
122	104	745
123	104	741
124	105	736
125	105	732
126	105	727
127	106	723
128	106	719
129	106	716
130	107	712
131	107	708
132	108	704
133	108	700
134	108	696
135	109	692
136	109	689
137	109	685
138	110	682
139	110	678
140	110	675
141	111	670
142	111	667
143	111	664
144	112	660
145	112	657
146	112	654
147	113	651
148	113	649
149	114	646
150	114	644
151	115	642
152	115	639
153	116	637
154	116	634
155	116	632
156	117	629
157	117	626
158	118	624
159	118	621
160	118	617
161	118	615
162	119	612
163	119	609
164	119	607
165	120	604
166	120	601
167	121	599
168	121	596
169	121	594
170	122	592
171	122	590
172	123	589
173	123	586
174	124	585
175	124	583
176	124	580
177	125	578
178	125	576
179	125	573
180	126	571
181	126	569
182	127	567
183	127	564
184	127	562
185	128	560
186	128	558
187	128	556
188	129	554
189	129	551
190	129	549
191	130	547
192	130	545
193	130	543
194	131	541
195	131	539
196	131	537
197	132	535
198	132	533
199	133	532
200	133	530
201	133	528
202	134	526
203	134	524
204	134	522
205	135	520
206	135	518
207	135	517
208	136	515
209	136	513
210	136	511
211	137	509
212	137	508
213	137	506
214	138	504
215	138	503
216	138	501
217	139	499
218	139	497
219	139	496
220	140	494
221	140	492
222	141	491
223	141	489
224	141	488
225	142	486
226	142	485
227	142	483
228	143	481
229	143	480
230	143	478
231	144	477
232	144	475
233	144	474
234	145	472
235	145	471
236	145	469
237	146	468
238	146	466
239	146	465
240	147	463
241	147	462
242	147	460
243	148	459
244	148	458
245	149	456
246	149	455
247	149	454
248	150	452
249	150	451
250	150	449
251	151	448
252	151	447
253	151	445
254	152	444
255	152	443
256	152	441
257	153	440
258	153	439
259	153	438
260	154	436
261	154	435
262	155	434
263	155	433
264	155	431
265	156	431
266	156	430
267	157	428
268	157	427
269	157	426
270	158	425
271	158	424
272	158	422
273	159	421
274	160	421
275	160	420
276	160	419
277	161	419
278	161	418
279	162	417
280	162	415
281	162	414
282	163	413
283	163	412
284	163	411
285	164	410
286	164	409
287	165	408
288	166	408
289	166	407
290	167	406
291	167	406
292	167	405
293	168	404
294	168	403
295	169	402
296	169	401
297	170	401
298	170	400
299	171	399
300	171	398
301	172	397
302	172	397
303	173	396
304	173	395
305	173	394
306	174	393
307	174	392
308	175	392
309	175	391
310	176	390
311	176	389
312	176	388
313	177	387
314	177	386
315	178	385
316	178	384
317	178	383
318	179	382
319	179	381
320	180	380
321	180	379
322	180	378
323	181	378
324	181	377
325	182	377
326	182	376
327	183	375
328	183	374
329	196	399
330	197	399
331	201	406
332	203	406
333	205	409
334	206	410
335	207	410
336	208	410
337	209	410
338	210	410
339	211	411
340	212	411
341	213	411
342	214	411
343	215	411
344	216	411
345	217	411
346	218	411
347	219	411
348	220	411
349	221	411
350	222	411
351	223	411
352	224	411
353	225	411
354	226	411
355	227	411
356	228	411
357	229	411
358	230	410
359	231	410
360	232	410
361	233	410
362	234	410
363	234	410
364	236	410
365	236	410
366	237	410
367	238	409
368	239	409
369	240	409
370	241	409
371	242	409
372	243	409
373	244	409
374	245	409
375	246	409
376	247	409
377	248	409
378	249	408
379	250	408
380	251	408
381	252	408
382	253	407
383	253	406
384	253	405
385	254	404
386	254	403
387	255	402
388	255	401
389	255	400
390	256	399
391	256	398
392	257	397
393	257	396
394	257	394
395	258	393
396	258	392
397	258	391
398	259	390
399	259	389
400	260	388
401	260	387
402	260	386
403	261	385
404	261	384
405	261	383
406	262	382
407	262	380
408	262	379
409	263	378
410	263	377
411	264	376
412	264	375
413	264	374
414	265	373
415	265	372
416	266	371
417	266	370
418	266	369
419	267	368
420	267	367
421	267	366
422	268	365
423	268	364
424	268	363
425	269	362
426	269	361
427	270	360
428	270	359
429	270	358
430	271	357
431	271	356
432	271	355
433	272	354
434	272	354
435	272	353
436	273	352
437	273	351
438	274	350
439	274	349
440	274	348
441	275	347
442	275	346
443	275	345
444	276	344
445	276	343
446	276	342
447	277	341
448	277	340
449	278	339
450	278	339
451	278	338
452	279	337
453	279	336
454	280	335
455	280	334
456	280	333
457	281	332
458	281	331
459	281	330
460	282	330
461	282	329
462	283	328
463	283	327
464	283	326
465	284	325
466	284	324
467	284	323
468	285	322
469	285	322
470	285	321
471	286	320
472	286	319
473	287	318
474	287	317
475	287	316
476	288	315
477	288	314
478	288	314
479	289	313
480	289	312
481	289	311
482	290	310
483	290	309
484	291	309
485	291	308
486	291	307
487	292	306
488	292	305
489	293	304
490	293	304
491	293	303
492	294	302
493	294	301
494	295	301
495	295	300
496	296	299
497	296	298
498	296	297
499	297	297
500	297	296
501	298	295
502	298	295
503	299	294
504	299	293
505	300	292
506	300	292
507	300	291
508	301	290
509	301	289
510	302	289
511	302	288
512	303	287
513	303	287
514	304	286
515	304	285
516	304	284
517	305	284
518	305	283
519	306	282
520	306	281
521	306	280
522	307	280
523	307	279
524	307	278
525	308	278
526	308	277
527	309	276
528	309	275
529	310	274
530	310	274
531	310	273
532	311	272
533	311	271
534	312	271
535	312	270
536	313	269
537	313	269
538	313	268
539	314	267
540	314	266
541	314	266
542	315	265
543	315	264
544	316	264
545	316	263
546	317	262
547	317	261
548	317	261
549	318	260
550	318	259
551	318	258
552	319	257
553	319	257
554	319	256
555	320	255
556	320	254
557	320	254
558	321	253
559	321	252
560	321	251
561	322	251
562	322	250
563	322	249
564	323	248
565	323	248
566	323	247
567	324	246
568	324	245
569	325	245
570	325	244
571	325	243
572	326	242
573	326	242
574	326	241
575	327	240
576	327	240
577	327	239
578	328	238
579	328	237
580	328	237
581	329	236
582	329	235
583	329	235
584	330	234
585	330	233
586	330	232
587	331	232
588	331	231
589	331	230
590	332	229
591	332	229
592	333	228
593	333	227
594	333	227
595	334	226
596	334	225
597	334	225
598	335	224
599	335	223
600	335	222
601	336	222
602	336	221
603	336	220
604	337	220
605	337	219
606	337	218
607	338	218
